Date,TimeOfCall,Age,Gender,Race,Language,City,Reason for Dispatch
1/1/2023,0:05:33,57,Female,White,English,Eugene,Public Assist
1/1/2023,0:05:00,Not Given,Male,N/A,English,Eugene,Check Welfare
1/1/2023,1:09:51,Not Given,Female,N/A,English,Eugene,Information Not Available
1/1/2023,1:33:15,Not Given,Female,N/A,English,Eugene,Public Assist
1/1/2023,1:45:30,67,Female,White,English,Eugene,Public Assist
1/1/2023,1:49:47,36,Female,N/A,English,Eugene,Public Assist
1/1/2023,2:05:00,Not Given,Male,White,English,Eugene,Public Assist
1/1/2023,2:39:53,Not Given,Male,N/A,English,Eugene,Public Assist
1/1/2023,2:48:37,Not Given,Male,N/A,English,Eugene,Public Assist
1/1/2023,3:02:00,39,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/1/2023,2:39:29,25,Female,White,English,Springfield,Public Assist
1/1/2023,5:30:48,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,5:51:00,20,Female,White,English,Eugene,Check Welfare
1/1/2023,6:45:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,7:07:00,Not Given,Male,N/A,English,Eugene,Check Welfare
1/1/2023,8:18:13,Not Given,Chose not to disclose,N/A,English,Eugene,Counseling
1/1/2023,8:45:02,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,9:15:00,42,Male (Assigned Female at Birth),White,English,Eugene,Check Welfare
1/1/2023,9:23:47,63,Male,White,English,Eugene,Check Welfare
1/1/2023,10:14:43,Not Given,Chose not to disclose,N/A,English,Eugene,EMS Assist
1/1/2023,11:03:00,33,Male,White,English,Eugene,Public Assist
1/1/2023,11:45:00,74,Female,White,English,Eugene,Check Welfare
1/1/2023,11:52:47,Not Given,Chose not to disclose,N/A,English,Eugene,Police Assist
1/1/2023,12:12:00,43,Female,White,English,Eugene,Public Assist
1/1/2023,12:51:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,13:18:21,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,13:27:04,17,Male,White,English,Eugene,Public Assist
1/1/2023,14:35:27,24,Male,Two or More Unspecified Race,English,Eugene,Check Welfare
1/1/2023,15:19:00,46,Male,Black or African American,English,Eugene,Public Assist
1/1/2023,16:15:28,39,Female,White,English,Eugene,Check Welfare
1/1/2023,5:35:23,41,Male,White,English,Springfield,Public Assist
1/1/2023,7:39:00,Not Given,Male,White,English,Springfield,Check Welfare
1/1/2023,7:50:53,58,Female,White,English,Springfield,Check Welfare
1/1/2023,11:05:00,Not Given,Male,White,English,Springfield,Check Welfare
1/1/2023,12:05:07,Not Given,Male,N/A,English,Springfield,Check Welfare
1/1/2023,13:07:37,16,Female,N/A,English,Springfield,Check Welfare
1/1/2023,7:41:16,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/1/2023,12:18:19,66,Female,White,English,Springfield,Check Welfare
1/1/2023,15:15:00,Not Given,Female,White,English,Springfield,Public Assist
1/1/2023,16:20:19,18,Male,White,English,Springfield,Public Assist
1/1/2023,17:21:38,27,Female,N/A,English,Eugene,Suicidal Subject
1/1/2023,16:51:22,81,Female,White,English,Springfield,Check Welfare
1/1/2023,17:40:18,43,Female,White,English,Springfield,Public Assist
1/1/2023,18:15:13,44,Female,White,English,Springfield,Public Assist
1/1/2023,18:56:03,Not Given,Male,White,English,Springfield,Public Assist
1/1/2023,19:11:47,70,Male,White,English,Springfield,Public Assist
1/1/2023,20:54:42,Not Given,Female,N/A,English,Springfield,Check Welfare
1/1/2023,21:03:09,Not Given,Male,N/A,English,Springfield,Public Assist
1/1/2023,21:21:10,20,Female,Two or More Unspecified Race,English,Springfield,Public Assist
1/1/2023,22:23:00,37,Male,N/A,English,Springfield,Police Assist
1/1/2023,22:55:00,42,Male,White,English,Springfield,Check Welfare
1/2/2023,0:03:26,Not Given,Male,N/A,English,Springfield,Check Welfare
1/2/2023,0:37:18,57,Male,White,English,Springfield,Check Welfare
1/2/2023,0:46:20,Not Given,Male,N/A,English,Springfield,Public Assist
1/2/2023,2:03:36,46,Male,White,English,Springfield,Check Welfare
1/2/2023,2:45:08,31,Male,White,English,Springfield,Public Assist
1/1/2023,18:09:01,54,Female,N/A,English,Eugene,Suicidal Subject
1/1/2023,19:10:54,Not Given,Male,White,English,Eugene,Suicidal Subject
1/1/2023,19:33:49,40,Male,N/A,English,Eugene,Public Assist
1/1/2023,20:02:58,35,Female,N/A,English,Eugene,Check Welfare
1/1/2023,20:29:49,40,Male,White,English,Eugene,Public Assist
1/1/2023,21:01:00,66,Male,White,English,Eugene,Public Assist
1/1/2023,21:30:18,Not Given,Male,N/A,English,Eugene,Public Assist
1/1/2023,21:34:14,30,Female,White,English,Eugene,Public Assist
1/1/2023,22:01:51,Not Given,Male,N/A,English,Eugene,Public Assist
1/1/2023,22:11:27,28,Male,N/A,English,Eugene,Suicidal Subject
1/1/2023,22:35:22,57,Male,White,English,Eugene,Public Assist
1/1/2023,23:31:29,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/1/2023,23:37:12,45,Male,White,English,Eugene,Check Welfare
1/1/2023,11:51:59,Not Given,Male,N/A,English,Eugene,Check Welfare
1/2/2023,0:24:16,Not Given,Male,White,English,Eugene,Check Welfare
1/2/2023,0:47:01,Not Given,Male,N/A,English,Eugene,Check Welfare
1/2/2023,0:52:56,66,Female,White,English,Eugene,Check Welfare
1/2/2023,1:45:40,Not Given,Chose not to disclose,N/A,English,Eugene,Transport
1/2/2023,2:02:46,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/2/2023,2:13:32,66,Male,White,English,Eugene,Transport
1/2/2023,2:55:26,51,Female,White,English,Eugene,Public Assist
1/2/2023,3:18:21,23,Female,Two or More Unspecified Race,English,Eugene,Check Welfare
1/2/2023,4:27:56,66,Female,White,English,Eugene,Transport
1/2/2023,5:35:09,47,Male,White,English,Eugene,Public Assist
1/2/2023,6:17:31,67,Female,White,English,Eugene,Check Welfare
1/2/2023,8:00:05,Not Given,Male,White,English,Eugene,Public Assist
1/2/2023,8:31:04,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/2/2023,9:10:39,34,Male,White,English,Eugene,Public Assist
1/2/2023,9:36:38,Not Given,Female,White,English,Eugene,Check Welfare
1/2/2023,10:20:03,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/2/2023,10:30:38,Not Given,Male,N/A,English,Eugene,Check Welfare
1/2/2023,11:05:27,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/2/2023,11:15:19,Not Given,Female,N/A,English,Eugene,Public Assist
1/2/2023,11:41:14,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/2/2023,12:43:40,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/2/2023,12:47:00,69,Male,White,English,Eugene,Public Assist
1/2/2023,5:17:31,29,Female,White,English,Springfield,Public Assist
1/2/2023,11:47:22,58,Female,White,English,Springfield,Public Assist
1/2/2023,12:33:47,48,Female,White,English,Springfield,Check Welfare
1/2/2023,14:17:58,Not Given,Chose not to disclose,N/A,English,Springfield,Information Not Available
1/2/2023,15:07:52,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/2/2023,15:07:52,52,Female,White,English,Eugene,Public Assist
1/2/2023,16:08:25,Not Given,Female,N/A,English,Eugene,Public Assist
1/2/2023,15:07:52,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/2/2023,15:07:52,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/2/2023,15:07:52,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/2/2023,17:15:56,28,Male,Other Single Race,English,Springfield,Public Assist
1/2/2023,17:41:03,27,Male,Black or African American,English,Springfield,Public Assist
1/2/2023,18:43:16,27,Male,White,English,Springfield,Public Assist
1/2/2023,21:13:19,22,Male,White,English,Springfield,Check Welfare
1/2/2023,23:00:00,62,Female,White,English,Springfield,Check Welfare
1/2/2023,0:45:00,30,Female,White,English,Eugene,Police Assist
1/2/2023,17:29:32,Not Given,Male,N/A,English,Eugene,Check Welfare
1/2/2023,17:49:02,Not Given,Male,N/A,English,Eugene,Public Assist
1/2/2023,17:58:40,36,Male,White,English,Eugene,Public Assist
1/2/2023,18:16:29,66,Male,White,English,Eugene,Public Assist
1/2/2023,18:48:35,45,Male,White,English,Eugene,Public Assist
1/2/2023,19:20:44,50,Female,White,English,Eugene,Check Welfare
1/2/2023,19:34:54,52,Female,White,English,Eugene,Public Assist
1/2/2023,21:13:36,20,Female,Native Hawaiian or Other Pac Island,English,Eugene,Suicidal Subject
1/2/2023,22:38:22,60,Female,White,English,Eugene,Public Assist
1/2/2023,23:35:14,38,Male,White,English,Eugene,Check Welfare
1/2/2023,23:48:16,Not Given,Female,White,English,Eugene,Check Welfare
1/3/2023,1:27:54,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,1:36:26,Not Given,Chose not to disclose,N/A,English,Eugene,Transport
1/3/2023,1:38:25,Not Given,Female,White,English,Eugene,Check Welfare
1/3/2023,1:45:29,77,Female,White,English,Eugene,Suicidal Subject
1/3/2023,3:16:29,20,Female,White,English,Eugene,Police Assist
1/3/2023,3:53:18,26,Male,White,English,Eugene,Public Assist
1/3/2023,3:53:18,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/3/2023,11:45:11,Not Given,Female,White,English,Eugene,Public Assist
1/2/2023,11:18:32,20,Female,White,English,Eugene,Public Assist
1/2/2023,12:25:51,66,Male,White,English,Eugene,Transport
1/2/2023,12:04:30,Not Given,Male,N/A,English,Eugene,Check Welfare
1/2/2023,13:40:08,Not Given,Male,White,English,Eugene,Check Welfare
1/2/2023,14:10:21,Not Given,Female,N/A,English,Eugene,Check Welfare
1/2/2023,14:35:03,Not Given,Chose not to disclose,N/A,English,Eugene,Transport
1/2/2023,14:45:17,28,Male,White,English,Eugene,Public Assist
1/2/2023,15:07:14,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/2/2023,16:17:25,Not Given,Male,White,English,Eugene,Public Assist
1/3/2023,8:27:52,37,Male,White,English,Springfield,Check Welfare
1/3/2023,13:39:04,Not Given,Chose not to disclose,N/A,English,Springfield,Public Assist
1/3/2023,14:50:03,27,Male,N/A,English,Springfield,Check Welfare
1/3/2023,15:14:18,58,Female,White,English,Springfield,Check Welfare
1/3/2023,5:26:03,57,Male,White,English,Eugene,Public Assist
1/3/2023,6:23:54,67,Male,White,English,Eugene,Public Assist
1/3/2023,7:51:25,62,Male,White,English,Eugene,Public Assist
1/3/2023,8:02:23,28,Male,Other Single Race,English,Eugene,Check Welfare
1/3/2023,8:25:56,Not Given,Male,N/A,English,Eugene,Public Assist
1/3/2023,8:38:30,38,Male,Other Single Race,English,Eugene,Check Welfare
1/3/2023,8:50:56,42,Female,White,English,Eugene,Public Assist
1/3/2023,9:42:14,Not Given,Male,N/A,English,Eugene,Suicidal Subject
1/3/2023,10:03:00,32,Male,Other Single Race,English,Eugene,Public Assist
1/3/2023,11:10:47,86,Male,White,English,Eugene,Check Welfare
1/3/2023,12:28:16,Not Given,Male,N/A,English,Eugene,Check Welfare
1/3/2023,12:30:08,Not Given,Male,N/A,English,Eugene,Suicidal Subject
1/3/2023,13:07:17,58,Male,White,English,Eugene,Check Welfare
1/3/2023,16:00:26,40,Male,Other Single Race,English,Eugene,Suicidal Subject
1/3/2023,15:23:41,Not Given,Male,White,English,Eugene,Check Welfare
1/3/2023,12:15:37,35,Male,White,English,Eugene,Public Assist
1/3/2023,13:44:29,17,Male,White,English,Eugene,Police Assist
1/3/2023,15:41:59,77,Female,N/A,English,Eugene,Fire Assist
1/3/2023,18:44:47,Not Given,Female,White,English,Eugene,Check Welfare
1/3/2023,18:56:55,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,19:06:02,Not Given,Female,White,English,Eugene,Check Welfare
1/3/2023,19:54:06,19,Female,White,English,Eugene,Public Assist
1/3/2023,20:08:29,17,Female,White,English,Eugene,Suicidal Subject
1/3/2023,21:00:08,Not Given,Non-Binary/ Gender Queer,Two or More Unspecified Race,English,Eugene,Suicidal Subject
1/3/2023,21:57:19,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,22:00:10,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,19:22:00,74,Male,White,English,Springfield,Police Assist
1/3/2023,20:12:00,32,Male,White,English,Springfield,Check Welfare
1/4/2023,0:12:01,24,Male,White,English,Springfield,Public Assist
1/4/2023,0:42:50,37,Female,White,English,Springfield,Public Assist
1/4/2023,2:16:52,54,Male,White,English,Springfield,Public Assist
1/3/2023,17:25:00,17,Male,White,English,Eugene,Check Welfare
1/3/2023,18:11:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,18:25:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,18:52:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/3/2023,19:02:00,66,Male,White,English,Eugene,Public Assist
1/3/2023,19:42:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,19:54:00,72,Male,White,English,Eugene,Check Welfare
1/3/2023,22:10:00,Not Given,Chose not to disclose,N/A,English,Eugene,Transport
1/3/2023,22:37:00,Not Given,Non-Binary/ Gender Queer,Two or More Unspecified Race,English,Eugene,Police Assist
1/3/2023,23:48:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/3/2023,23:30:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/3/2023,23:58:00,60,Female,Two or More Unspecified Race,English,Eugene,Public Assist
1/4/2023,0:59:00,Not Given,Chose not to disclose,N/A,English,Eugene,EMS Assist
1/4/2023,1:13:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,1:28:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,1:31:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,1:34:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,1:37:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,1:54:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,2:04:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/4/2023,2:16:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,2:31:00,38,Male,N/A,English,Eugene,Check Welfare
1/4/2023,2:43:00,60,Female,N/A,English,Eugene,Public Assist
1/4/2023,3:36:00,32,Female,N/A,English,Eugene,Police Assist
1/4/2023,3:36:00,29,Male,White,English,Eugene,Police Assist
1/4/2023,5:20:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/4/2023,5:38:00,40,Female,N/A,English,Eugene,Check Welfare
1/4/2023,5:10:00,Not Given,Chose not to disclose,White,English,Springfield,Public Assist
1/4/2023,6:00:00,48,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/4/2023,7:30:00,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/4/2023,7:49:00,Not Given,Female,N/A,English,Springfield,Public Assist
1/4/2023,9:20:00,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/4/2023,12:20:00,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/4/2023,13:50:00,38,Female,N/A,English,Springfield,Public Assist
1/4/2023,16:22:00,Not Given,Chose not to disclose,White,English,Springfield,Public Assist
1/4/2023,6:20:00,Not Given,MALE,WHITE,English,Eugene,Counseling
1/4/2023,7:59:00,Not Given,Chose not to disclose,N/A,English,Eugene,Police Assist
1/4/2023,8:06:00,53,MALE,N/A,English,Eugene,Public Assist
1/4/2023,10:39:00,15,Male (Assigned Female at Birth),White,English,Eugene,Suicidal Subject
1/4/2023,12:12:00,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/4/2023,13:25:00,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,14:40:00,76,Female,White,English,Eugene,Public Assist
1/4/2023,16:35:00,Not Given,Chose not to disclose,White,English,Eugene,Suicidal Subject
1/4/2023,17:41:23,57,Male,White,English,Springfield,Public Assist
1/4/2023,18:13:23,46,Female,White,English,Springfield,Transport
1/4/2023,18:46:44,Not Given,Chose not to disclose,N/A,English,Springfield,Public Assist
1/4/2023,19:02:32,15,Male,White,English,Springfield,Police Assist
1/4/2023,19:25:18,13,Male,Two or More Unspecified Race,English,Springfield,Public Assist
1/4/2023,20:16:15,Not Given,Male,White,English,Springfield,Check Welfare
1/4/2023,20:44:31,64,Female,White,English,Springfield,Public Assist
1/4/2023,22:13:51,15,Female,Two or More Unspecified Race,English,Springfield,Public Assist
1/5/2023,0:18:13,52,Male,White,English,Springfield,Public Assist
1/4/2023,17:45:33,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/4/2023,18:06:26,61,Female,N/A,English,Eugene,Suicidal Subject
1/4/2023,18:21:59,33,Female,Black or African American,English,Eugene,Public Assist
1/4/2023,19:02:25,35,Female,White,English,Eugene,Check Welfare
1/4/2023,19:40:01,Not Given,Male,White,English,Eugene,Check Welfare
1/4/2023,19:58:26,Not Given,Male,N/A,English,Eugene,Public Assist
1/4/2023,20:11:01,37,Male,N/A,English,Eugene,Check Welfare
1/4/2023,20:11:45,55,Female,White,English,Eugene,Suicidal Subject
1/4/2023,20:18:36,30,Male,Other Single Race,English,Eugene,Public Assist
1/4/2023,20:55:14,22,Male,White,English,Eugene,Public Assist
1/4/2023,21:05:12,Not Given,Male,N/A,English,Eugene,Public Assist
1/4/2023,21:58:55,22,Male,White,English,Eugene,Police Assist
1/4/2023,22:33:32,71,Female,White,English,Eugene,Check Welfare
1/5/2023,0:37:27,72,Female,White,English,Eugene,Public Assist
1/5/2023,1:04:08,Not Given,Male,N/A,English,Eugene,Public Assist
1/5/2023,1:13:14,Not Given,Female,N/A,English,Eugene,Public Assist
1/5/2023,1:20:35,Not Given,Male,White,English,Eugene,Public Assist
1/5/2023,2:45:02,62,Female (Assigned Male at Birth),White,English,Eugene,Public Assist
1/5/2023,3:12:35,Not Given,Female,N/A,English,Eugene,Transport
1/5/2023,3:34:14,15,Female,White,English,Eugene,Public Assist
1/5/2023,4:34:25,52,Female,White,English,Eugene,Check Welfare
1/5/2023,5:59:56,Not Given,Male,White,English,Eugene,Public Assist
1/5/2023,7:15:00,Not Given,Chose not to disclose,N/A,English,Springfield,Public Assist
1/5/2023,9:50:41,Not Given,Female,White,English,Springfield,Public Assist
1/5/2023,10:33:59,Not Given,Female,N/A,English,Springfield,Check Welfare
1/5/2023,11:46:17,Not Given,Female,Two or More Unspecified Race,English,Springfield,Public Assist
1/5/2023,13:54:36,15,Female,Two or More Unspecified Race,English,Springfield,Public Assist
1/5/2023,14:59:46,Not Given,Chose not to disclose,N/A,English,Springfield,Check Welfare
1/5/2023,15:30:18,47,Male,White,English,Springfield,Public Assist
1/5/2023,6:12:38,77,Female,White,English,Eugene,Public Assist
1/5/2023,7:10:26,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/5/2023,7:15:42,57,Male,White,English,Eugene,Public Assist
1/5/2023,7:51:00,50,Female,White,English,Eugene,Public Assist
1/5/2023,8:37:08,83,Male,N/A,English,Eugene,Check Welfare
1/5/2023,8:59:20,52,Female,White,English,Eugene,Public Assist
1/5/2023,9:24:20,17,Female,N/A,English,Eugene,Check Welfare
1/5/2023,9:40:38,37,Male,White,English,Eugene,Check Welfare
1/5/2023,10:09:58,Not Given,Male,White,English,Eugene,Check Welfare
1/5/2023,10:19:48,59,Female,White,English,Eugene,Check Welfare
1/5/2023,11:27:15,37,Male,White,English,Eugene,Check Welfare
1/5/2023,11:35:48,40,Male,White,English,Eugene,Public Assist
1/5/2023,11:52:22,52,Male,N/A,English,Eugene,Public Assist
1/5/2023,12:18:31,17,Male,White,English,Eugene,Public Assist
1/5/2023,14:06:32,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/5/2023,15:19:35,42,Female,White,English,Eugene,Check Welfare
1/5/2023,15:51:32,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/5/2023,15:57:38,Not Given,Chose not to disclose,White,English,Eugene,Check Welfare
1/5/2023,17:28:46,26,Female,White,English,Eugene,Suicidal Subject
1/5/2023,19:04:38,Not Given,Chose not to disclose,N/A,English,Eugene,Transport
1/5/2023,19:20:03,Not Given,Male,N/A,English,Eugene,Public Assist
1/5/2023,19:54:01,69,Male,White,English,Eugene,Check Welfare
1/5/2023,21:14:29,Not Given,Chose not to disclose,N/A,English,Eugene,Public Assist
1/5/2023,21:20:29,45,Male,White,English,Eugene,Public Assist
1/5/2023,21:47:23,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/5/2023,17:22:27,33,Male,White,English,Eugene,Fire Assist
1/5/2023,18:46:06,73,Female,Black or African American,English,Eugene,Check Welfare
1/5/2023,19:18:57,37,Male,White,English,Eugene,Police Assist
1/5/2023,20:04:09,62,Male,White,English,Eugene,Check Welfare
1/5/2023,20:27:52,Not Given,Female,White,English,Eugene,Public Assist
1/5/2023,20:43:09,24,Female,White,English,Eugene,Public Assist
1/5/2023,20:46:59,Not Given,Female,N/A,English,Eugene,Public Assist
1/5/2023,21:02:18,46,Male,Two or More Unspecified Race,English,Eugene,Public Assist
1/5/2023,21:20:41,Not Given,Male,N/A,English,Eugene,Police Assist
1/5/2023,22:46:24,81,Male,White,English,Eugene,Police Assist
1/5/2023,23:21:30,46,Female,White,English,Eugene,Suicidal Subject
1/5/2023,17:08:40,14,Non-Binary/ Gender Queer,White,English,Springfield,Check Welfare
1/5/2023,19:40:07,27,Male,Black or African American,English,Springfield,Check Welfare
1/5/2023,20:59:57,20,Male,White,English,Springfield,Public Assist
1/5/2023,21:34:47,61,Female,White,English,Springfield,Public Assist
1/5/2023,22:51:32,47,Female,White,English,Springfield,Check Welfare
1/5/2023,23:25:12,64,Female,N/A,English,Springfield,Public Assist
1/5/2023,23:39:38,Not Given,Male,N/A,English,Springfield,Public Assist
1/6/2023,0:13:11,29,Male,White,English,Eugene,Public Assist
1/6/2023,0:49:55,32,Female,White,English,Eugene,Check Welfare
1/6/2023,2:04:30,Not Given,Male,White,English,Eugene,Public Assist
1/6/2023,2:32:32,Not Given,Male,N/A,English,Eugene,Public Assist
1/6/2023,2:40:01,Not Given,Female,White,English,Eugene,Public Assist
1/6/2023,2:48:00,Not Given,Male,N/A,English,Eugene,Public Assist
1/6/2023,2:57:27,Not Given,Male,White,English,Eugene,Public Assist
1/6/2023,3:10:42,24,Male,White,English,Eugene,Check Welfare
1/6/2023,3:25:16,50,Female,White,English,Eugene,Check Welfare
1/6/2023,3:52:13,46,Female,N/A,English,Eugene,Public Assist
1/6/2023,5:20:00,46,Female,White,English,Eugene,Public Assist
1/6/2023,9:55:00,Not Given,Female,White,English,Eugene,Public Assist
1/6/2023,10:13:00,34,Chose not to disclose,White,English,Eugene,Public Assist
1/6/2023,10:47:00,Not Given,Chose not to disclose,N/A,English,Eugene,Information Not Available
1/6/2023,11:42:44,43,Female,White,English,Eugene,Public Assist
1/6/2023,13:54:48,Not Given,Male,N/A,English,Eugene,Check Welfare
1/6/2023,15:00:33,Not Given,Chose not to disclose,N/A,English,Eugene,Check Welfare
1/6/2023,15:10:59,Not Given,Male,N/A,English,Eugene,Check Welfare
1/6/2023,15:46:19,41,Male,White,English,Eugene,Public Assist
1/6/2023,16:20:05,61,Female,N/A,English,Eugene,Public Assist
1/6/2023,17:42:06,30,Female,White,English,Eugene,Suicidal Subject
1/6/2023,18:39:42,Not Given,Female,N/A,English,Eugene,Suicidal Subject
1/6/2023,19:21:42,73,Female,White,English,Eugene,Check Welfare
